новый	1217.5	73	
2  	большой	944.4	96	
3  	должен	944.2	97	
4  	последний	712.6	130	
5  	российский	644.6	141	
6  	русский	530.5	173	
7  	общий	492.4	185	
8  	высокий	483.3	193	
9  	хороший	471.4	199	
10  	главный	454.6	207	
11  	лучший	443.2	215	
12  	маленький	414.1	229	
13  	молодой	400.0	241	
14  	государственный	391.3	249	
15  	полный	390.6	250	
16  	советский	382.9	254	
17  	настоящий	374.0	256	
18  	старый	368.5	264	
19  	разный	352.6	278	
20  	нужный	351.9	279	
21  	белый	339.6	290	
22  	собственный	338.3	291	
23  	черный	337.5	293	
24  	основной	334.1	297	
25  	далекий	318.3	311	
26  	подобный	301.6	334	
27  	следующий	301.4	335	
28  	равный	289.7	352	
29  	живой	284.0	364	
30  	известный	281.1	369	
31  	военный	278.7	373	
32  	важный	277.0	377	
33  	великий	276.3	379	
34  	простой	275.3	381	
35  	огромный	272.1	385	
36  	политический	269.6	387	
37  	московский	257.3	409	
38  	готовый	248.5	424	
39  	красный	240.5	442	
40  	современный	236.1	453	
41  	социальный	228.2	472	
42  	ранний	225.7	480	
43  	особый	224.3	482	
44  	целый	222.5	483	
45  	плохой	221.6	487	
46  	сильный	220.5	490	
47  	скорый	220.0	492	
48  	крупный	217.3	501	
49  	внутренний	216.1	502	
50  	экономический	210.6	514	
51  	правый	210.4	516	
52  	федеральный	208.9	519	
53  	близкий	206.8	524	
54  	похожий	206.5	526	
55  	различный	205.5	532	
56  	необходимый	203.7	539	
57  	единственный	202.2	544	
58  	легкий	202.1	545	
59  	человеческий	199.3	555	
60  	международный	198.2	561	
61  	дорогой	197.7	564	
62  	небольшой	196.6	572	
63  	местный	193.3	577	
64  	бывший	191.5	586	
65  	американский	186.5	601	
66  	широкий	183.9	611	
67  	мировой	182.3	615	
68  	тяжелый	180.3	617	
69  	возможный	179.1	627	
70  	отдельный	177.5	630	
71  	средний	177.3	631	
72  	красивый	177.2	632	
73  	короткий	175.6	640	
74  	серьезный	173.0	654	
75  	интересный	171.9	660	
76  	добрый	171.1	662	
77  	национальный	170.3	665	
78  	длинный	170.1	667	
79  	страшный	169.1	670	
80  	прошлый	169.0	671	
81  	общественный	168.1	673	
82  	детский	161.8	703	
83  	единый	161.3	707	
84  	определенный	161.2	709	
85  	низкий	160.7	710	
86  	чужой	159.6	719	
87  	странный	159.5	721	
88  	чистый	159.0	723	
89  	поздний	157.7	732	
90  	специальный	156.8	738	
91  	научный	155.1	745	
92  	сложный	154.5	754	
93  	реальный	153.8	762	
94  	способный	150.5	775	
95  	малый	150.2	778	
96  	старший	149.5	779	
97  	личный	149.2	783	
98  	свободный	149.0	786	
99  	обычный	148.7	788	
100  	прекрасный	148.4	790	
101  	высший	147.8	791	
102  	темный	146.0	803	
103  	гражданский	144.7	810	
104  	внешний	140.3	848	
105  	боевой	139.6	857	
106  	рабочий	138.0	870	
107  	глубокий	137.3	872	
108  	долгий	135.5	885	
109  	прямой	134.8	892	
110  	финансовый	134.5	896	
111  	открытый	134.4	897	
112  	знакомый	133.4	904	
113  	нынешний	132.3	908	
114  	исторический	130.4	921	
115  	народный	130.3	923	
116  	знаменитый	129.4	929	
117  	больший	128.9	933	
118  	пустой	127.5	940	
119  	очередной	127.4	941	
120  	судебный	126.1	949	
121  	зеленый	124.4	958	
122  	немецкий	123.6	966	
123  	золотой	123.5	967	
124  	технический	123.4	969	
125  	нормальный	123.2	970	
126  	городской	122.4	976	
127  	соответствующий	121.8	978	
128  	любимый	120.4	992	
129  	родной	120.3	993	
130  	западный	120.2	994	
131  	быстрый	119.8	1000	
132  	холодный	119.0	1008	
133  	конкретный	118.1	1012	
134  	иностранный	117.4	1018	
135  	левый	117.2	1022	
136  	счастливый	117.2	1023	
137  	святой	115.8	1035	
138  	точный	115.7	1037	
139  	частый	114.6	1053	
140  	значительный	113.9	1058	
141  	связанный	113.2	1067	
142  	уверенный	112.5	1073	
143  	тонкий	112.4	1075	
144  	центральный	112.4	1076	
145  	будущий	111.7	1083	
146  	физический	109.8	1104	
147  	частный	108.7	1117	
148  	мелкий	108.5	1119	
149  	английский	108.4	1121	
150  	постоянный	108.4	1122	
151  	тихий	107.3	1131	
152  	европейский	104.9	1158	
153  	ближайший	104.3	1162	
154  	отечественный	104.3	1163	
155  	теплый	104.0	1164	
156  	духовный	103.7	1166	
157  	прежний	103.6	1168	
158  	профессиональный	101.5	1190	
159  	французский	101.5	1191	
160  	женский	101.4	1192	
161  	крайний	101.3	1193	
162  	божий	99.9	1208	
163  	дальнейший	99.6	1215	
164  	естественный	98.7	1225	
165  	информационный	98.5	1229	
166  	железный	98.3	1234	
167  	горячий	98.0	1240	
168  	веселый	97.7	1248	
169  	официальный	96.4	1267	
170  	серый	96.1	1271	
171  	опасный	95.7	1276	
172  	слабый	94.1	1302	
173  	яркий	93.9	1306	
174  	летний	93.2	1314	
175  	дополнительный	93.1	1315	
176  	правильный	92.4	1323	
177  	лесной	92.2	1326	
178  	умный	91.5	1343	
179  	северный	91.2	1346	
180  	ясный	90.8	1352	
181  	милый	90.7	1353	
182  	светлый	90.5	1355	
183  	редкий	90.2	1359	
184  	верный	89.8	1362	
185  	юридический	89.6	1364	
186  	административный	88.8	1377	
187  	узкий	88.3	1388	
188  	художественный	88.1	1397	
189  	древний	87.6	1404	
190  	массовый	87.5	1408	
191  	генеральный	87.4	1410	
192  	замечательный	87.4	1411	
193  	задний	86.9	1421	
194  	региональный	86.9	1422	
195  	здоровый	86.6	1429	
196  	активный	85.7	1438	
197  	литературный	85.7	1439	
198  	острый	85.1	1452	
199  	богатый	85.0	1455	
200  	творческий	85.0	1459	
201  	мягкий	84.7	1462	
202  	ночной	84.7	1463	
203  	налоговый	84.5	1468	
204  	толстый	84.4	1469	
205  	бедный	84.0	1476	
206  	верхний	83.9	1480	
207  	вечный	83.8	1482	
208  	лишний	83.5	1484	
209  	морской	83.5	1485	
210  	нижний	83.4	1487	
211  	спокойный	83.4	1488	
212  	сухой	83.0	1493	
213  	синий	82.8	1498	
214  	сегодняшний	82.3	1503	
215  	медицинский	82.0	1509	
216  	свежий	81.3	1519	
217  	трудный	81.3	1520	
218  	уголовный	81.3	1521	
219  	желтый	78.1	1582	
220  	мощный	77.0	1596	
221  	деревянный	75.6	1618	
222  	полезный	75.2	1628	
223  	дальний	74.9	1632	
224  	домашний	74.4	1644	
225  	традиционный	74.1	1647	
226  	жесткий	73.6	1654	
227  	крепкий	73.6	1655	
228  	виноватый	73.0	1659	
229  	культурный	72.8	1663	
230  	приятный	72.7	1666	
231  	круглый	71.9	1682	
232  	понятный	71.6	1687	
233  	голубой	71.5	1688	
234  	удивительный	71.5	1690	
235  	мужской	71.2	1694	
236  	правовой	71.2	1696	
237  	больной	71.0	1700	
238  	мертвый	70.8	1705	
239  	совместный	70.4	1714	
240  	семейный	70.3	1718	
241  	природный	69.7	1734	
242  	православный	69.2	1748	
243  	учебный	69.2	1750	
244  	эффективный	68.9	1756	
245  	материальный	67.7	1780	
246  	невозможный	67.7	1781	
247  	соседний	66.4	1814	
248  	психологический	66.2	1815	
249  	музыкальный	65.9	1824	
250  	голый	65.4	1835	
251  	обязательный	65.4	1839	
252  	исполнительный	65.2	1846	
253  	партийный	65.2	1849	
254  	существенный	65.0	1860	
255  	восточный	64.4	1870	
256  	сельский	64.2	1883	
257  	характерный	64.2	1884	
258  	неожиданный	64.0	1887	
259  	видный	63.5	1897	
260  	честный	63.4	1905	
261  	резкий	63.2	1911	
262  	младший	63.1	1913	
263  	трудовой	62.9	1921	
264  	строгий	62.8	1923	
265  	южный	62.5	1932	
266  	практический	62.4	1933	
267  	многочисленный	62.3	1934	
268  	согласный	62.3	1936	
269  	спортивный	62.0	1944	
270  	истинный	61.8	1948	
271  	злой	61.5	1957	
272  	индивидуальный	61.4	1962	
273  	мокрый	61.3	1966	
274  	дикий	61.2	1970	
275  	рад	61.0	1976	
276  	коммерческий	60.7	1982	
277  	театральный	60.6	1984	
278  	воздушный	60.1	1989	
279  	дешевый	60.1	1990	
280  	пьяный	60.0	1994	
281  	областной	59.6	2001	
282  	твердый	59.5	2007	
283  	вооруженный	59.4	2009	
284  	религиозный	59.4	2011	
285  	промышленный	59.3	2014	
286  	денежный	58.8	2026	
287  	китайский	58.4	2043	
288  	последующий	58.4	2044	
289  	грязный	58.3	2045	
290  	земной	58.3	2046	
291  	классический	58.2	2047	
292  	неизвестный	57.9	2055	
293  	торговый	57.8	2058	
294  	привычный	57.1	2081	
295  	глупый	57.0	2083	
296  	обратный	57.0	2087	
297  	транспортный	56.8	2093	
298  	достойный	56.6	2096	
299  	удобный	56.4	2104	
300  	конечный	56.2	2113	
301  	производственный	56.0	2128	
302  	школьный	55.8	2135	
303  	передний	55.6	2142	
304  	каменный	55.5	2143	
305  	ценный	55.5	2147	
306  	предыдущий	55.3	2152	
307  	солнечный	55.2	2155	
308  	жизненный	55.1	2156	
309  	смешной	55.0	2161	
310  	несчастный	54.9	2165	
311  	арбитражный	54.8	2167	
312  	случайный	54.8	2169	
313  	обязанный	54.5	2178	
314  	горный	54.3	2182	
315  	зарубежный	54.0	2194	
316  	юный	53.8	2200	
317  	положительный	53.7	2201	
318  	довольный	53.4	2212	
319  	телефонный	53.3	2217	
320  	японский	53.2	2222	
321  	указанный	53.1	2226	
322  	деловой	53.0	2228	
323  	минимальный	52.7	2241	
324  	электронный	52.4	2255	
325  	одинаковый	52.3	2257	
326  	химический	52.2	2259	
327  	временной	51.5	2274	
328  	еврейский	51.2	2285	
329  	окружающий	51.1	2288	
330  	опытный	51.1	2289	
331  	космический	51.0	2294	
332  	меньший	50.9	2300	
333  	тайный	50.8	2306	
334  	закрытый	50.7	2308	
335  	отличный	50.7	2310	
336  	ведущий	50.4	2320	
337  	верховный	49.9	2333	
338  	уникальный	49.9	2340	
339  	популярный	49.7	2346	
340  	взрослый	49.5	2357	
341  	розовый	49.3	2373	
342  	скромный	49.2	2379	
343  	технологический	49.2	2380	
344  	старинный	49.1	2385	
345  	непонятный	48.8	2399	
346  	бесконечный	48.7	2402	
347  	независимый	48.7	2404	
348  	нежный	48.5	2413	
349  	зимний	48.2	2427	
350  	талантливый	48.2	2432	
351  	мирный	48.1	2433	
352  	ужасный	47.9	2440	
353  	квадратный	47.7	2444	
354  	незнакомый	47.5	2452	
355  	строительный	47.5	2456	
356  	крупнейший	47.4	2457	
357  	густой	47.2	2464	
358  	действующий	47.2	2465	
359  	надежный	47.2	2467	
360  	очевидный	47.1	2470	
361  	пожилой	47.1	2471	
362  	аналогичный	46.7	2479	
363  	законный	46.7	2480	
364  	муниципальный	46.6	2490	
365  	максимальный	46.5	2494	
366  	неприятный	46.5	2495	
367  	особенный	46.0	2518	
368  	прозрачный	46.0	2519	
369  	церковный	46.0	2520	
370  	громкий	45.9	2521	
371  	самостоятельный	45.6	2534	
372  	электрический	45.2	2549	
373  	нервный	45.0	2553	
374  	заметный	44.8	2557	
375  	важнейший	44.6	2565	
376  	стратегический	44.6	2567	
377  	одинокий	44.5	2570	
378  	бюджетный	44.4	2572	
379  	ответственный	43.9	2588	
380  	рыночный	43.8	2593	
381  	крутой	43.4	2613	
382  	противоположный	43.4	2618	
383  	рыжий	43.2	2630	
384  	текущий	43.2	2633	
385  	ядерный	43.1	2639	
386  	обыкновенный	43.0	2644	
387  	подлинный	42.8	2655	
388  	вынужденный	42.7	2658	
389  	грубый	42.6	2664	
390  	металлический	42.4	2675	
391  	абсолютный	42.3	2680	
392  	интеллектуальный	41.9	2700	
393  	статистический	41.9	2702	
394  	необычный	41.8	2705	
395  	недавний	41.6	2716	
396  	рекламный	41.6	2718	
397  	служебный	41.2	2736	
398  	письменный	41.0	2741	
399  	итальянский	40.9	2747	
400  	половой	40.9	2750	
401  	глухой	40.7	2761	
402  	предварительный	40.7	2763	
403  	чеченский	40.7	2765	
404  	экологический	40.7	2766	
405  	длительный	40.6	2767	
406  	страховой	40.5	2777	
407  	всеобщий	40.4	2780	
408  	демократический	40.4	2781	
409  	душевный	40.1	2804	
410  	печальный	39.9	2819	
411  	пенсионный	39.7	2830	
412  	объективный	39.6	2839	
413  	теоретический	39.5	2847	
414  	моральный	39.2	2863	
415  	инвестиционный	39.1	2870	
416  	земельный	38.9	2876	
417  	невероятный	38.8	2882	
418  	законодательный	38.7	2887	
419  	вечерний	38.6	2891	
420  	идеальный	38.6	2893	
421  	непосредственный	38.6	2895	
422  	президентский	38.6	2896	
423  	столичный	38.6	2898	
424  	хозяйственный	38.6	2899	
425  	сладкий	38.4	2907	
426  	водный	38.3	2908	
427  	доступный	38.2	2914	
428  	уважаемый	38.1	2927	
429  	банковский	38.0	2930	
430  	цветной	37.9	2939	
